Level,Expression,Value,Location,Refresh
0,"htim2",,0x20000398,"2 Hz"
0,"s_state","SM_STATE_NORMAL (0x1)",0x20001434,"2 Hz"
0,"s_effect","LED_EFF_NORMAL (0x0)",0x00000000,"2 Hz"
0,"s_team_color","0x0 ('\0')",0x00000000,"1 Hz"
0,"s_param",,0x2000136C,"2 Hz"
0,"s_last_mv",,0x00000000,"5 Hz"
0,"s_streaming","0x0 ('\0')",0x200010FB,"2 Hz"
0,"s_dma_busy","0x0 ('\0')",0x200010FC,"2 Hz"
0,"s_diag",,0x200010D8,"1 Hz"
0,"s_chip_id",0x0,0x200010D4,"1 Hz"
0,"s_init_ok","0x0 ('\0')",0x200010D6,"1 Hz"
0,"s_init_stage","0x5 ('\005')",0x200005CC,"1 Hz"
0,"s_reg_init",,0x08007CE8,"Off"
0,"s_fail_addr","0x2 ('\002')",0x200010D2,"1 Hz"
0,"s_fail_readback",0xF,0x200010D0,"1 Hz"
0,"hspi1",,0x200004C0,"1 Hz"
0," s_init_rx_w0",,0x200005D0,"1 Hz"
 1,"[0]",0x400000,0x200005D0,"1 Hz"
 1,"[1]",0x0,0x200005D4,"1 Hz"
 1,"[2]",0x0,0x200005D8,"1 Hz"
 1,"[3]",0x0,0x200005DC,"1 Hz"
 1,"[4]",0x0,0x200005E0,"1 Hz"
 1,"[5]",0xF00,0x200005E4,"1 Hz"
 1,"[6]",0x0,0x200005E8,"1 Hz"
 1,"[7]",0x0,0x200005EC,"1 Hz"
 1,"[8]",0x0,0x200005F0,"1 Hz"
 1,"[9]",0x0,0x200005F4,"1 Hz"
 1,"[10]",0x0,0x200005F8,"1 Hz"
 1,"[11]",0x0,0x200005FC,"1 Hz"
 1,"[12]",0x0,0x20000600,"1 Hz"
 1,"[13]",0x0,0x20000604,"1 Hz"
 1,"[14]",0x0,0x20000608,"1 Hz"
 1,"[15]",0x0,0x2000060C,"1 Hz"
 1,"[16]",0x0,0x20000610,"1 Hz"
 1,"[17]",0x0,0x20000614,"1 Hz"
 1,"[18]",0x0,0x20000618,"1 Hz"
 1,"[19]",0x0,0x2000061C,"1 Hz"
 1,"[20]",0x0,0x20000620,"1 Hz"
 1,"[21]",0x0,0x20000624,"1 Hz"
 1,"[22]",0x0,0x20000628,"1 Hz"
 1,"[23]",0x0,0x2000062C,"1 Hz"
 1,"[24]",0x0,0x20000630,"1 Hz"
 1,"[25]",0x0,0x20000634,"1 Hz"
 1,"[26]",0x0,0x20000638,"1 Hz"
 1,"[27]",0x0,0x2000063C,"1 Hz"
 1,"[28]",0x0,0x20000640,"1 Hz"
 1,"[29]",0x0,0x20000644,"1 Hz"
 1,"[30]",0x0,0x20000648,"1 Hz"
 1,"[31]",0x0,0x2000064C,"1 Hz"
 1,"[32]",0x0,0x20000650,"1 Hz"
 1,"[33]",0x0,0x20000654,"1 Hz"
 1,"[34]",0x0,0x20000658,"1 Hz"
 1,"[35]",0x0,0x2000065C,"1 Hz"
 1,"[36]",0x0,0x20000660,"1 Hz"
 1,"[37]",0x0,0x20000664,"1 Hz"
 1,"[38]",0x0,0x20000668,"1 Hz"
 1,"[39]",0x0,0x2000066C,"1 Hz"
 1,"[40]",0x0,0x20000670,"1 Hz"
 1,"[41]",0x0,0x20000674,"1 Hz"
 1,"[42]",0x0,0x20000678,"1 Hz"
 1,"[43]",0x0,0x2000067C,"1 Hz"
 1,"[44]",0x0,0x20000680,"1 Hz"
 1,"[45]",0x0,0x20000684,"1 Hz"
 1,"[46]",0x0,0x20000688,"1 Hz"
 1,"[47]",0x0,0x2000068C,"1 Hz"
 1,"[48]",0x0,0x20000690,"1 Hz"
 1,"[49]",0x0,0x20000694,"1 Hz"
 1,"[50]",0x0,0x20000698,"1 Hz"
 1,"[51]",0x0,0x2000069C,"1 Hz"
 1,"[52]",0x0,0x200006A0,"1 Hz"
 1,"[53]",0x0,0x200006A4,"1 Hz"
 1,"[54]",0x0,0x200006A8,"1 Hz"
 1,"[55]",0x0,0x200006AC,"1 Hz"
 1,"[56]",0x0,0x200006B0,"1 Hz"
 1,"[57]",0x0,0x200006B4,"1 Hz"
 1,"[58]",0x0,0x200006B8,"1 Hz"
 1,"[59]",0x0,0x200006BC,"1 Hz"
 1,"[60]",0x0,0x200006C0,"1 Hz"
 1,"[61]",0x0,0x200006C4,"1 Hz"
 1,"[62]",0x0,0x200006C8,"1 Hz"
 1,"[63]",0x0,0x200006CC,"1 Hz"
 1,"[64]",0x0,0x200006D0,"1 Hz"
 1,"[65]",0x0,0x200006D4,"1 Hz"
 1,"[66]",0x0,0x200006D8,"1 Hz"
 1,"[67]",0x0,0x200006DC,"1 Hz"
 1,"[68]",0x0,0x200006E0,"1 Hz"
 1,"[69]",0x0,0x200006E4,"1 Hz"
 1,"[70]",0x0,0x200006E8,"1 Hz"
 1,"[71]",0x0,0x200006EC,"1 Hz"
 1,"[72]",0x0,0x200006F0,"1 Hz"
 1,"[73]",0x0,0x200006F4,"1 Hz"
 1,"[74]",0x0,0x200006F8,"1 Hz"
 1,"[75]",0x0,0x200006FC,"1 Hz"
 1,"[76]",0x0,0x20000700,"1 Hz"
 1,"[77]",0x0,0x20000704,"1 Hz"
 1,"[78]",0x0,0x20000708,"1 Hz"
 1,"[79]",0x0,0x2000070C,"1 Hz"
 1,"[80]",0x0,0x20000710,"1 Hz"
 1,"[81]",0x0,0x20000714,"1 Hz"
 1,"[82]",0x0,0x20000718,"1 Hz"
 1,"[83]",0x0,0x2000071C,"1 Hz"
 1,"[84]",0x0,0x20000720,"1 Hz"
 1,"[85]",0x0,0x20000724,"1 Hz"
 1,"[86]",0x0,0x20000728,"1 Hz"
 1,"[87]",0x0,0x2000072C,"1 Hz"
 1,"[88]",0x0,0x20000730,"1 Hz"
 1,"[89]",0x0,0x20000734,"1 Hz"
 1,"[90]",0x0,0x20000738,"1 Hz"
 1,"[91]",0x0,0x2000073C,"1 Hz"
 1,"[92]",0x0,0x20000740,"1 Hz"
 1,"[93]",0x0,0x20000744,"1 Hz"
 1,"[94]",0x0,0x20000748,"1 Hz"
 1,"[95]",0x0,0x2000074C,"1 Hz"
 1,"[96]",0x0,0x20000750,"1 Hz"
 1,"[97]",0x0,0x20000754,"1 Hz"
 1,"[98]",0x0,0x20000758,"1 Hz"
 1,"[99]",0x0,0x2000075C,"1 Hz"
 1,"[100]",0x0,0x20000760,"1 Hz"
 1,"[101]",0x0,0x20000764,"1 Hz"
 1,"[102]",0x0,0x20000768,"1 Hz"
 1,"[103]",0x0,0x2000076C,"1 Hz"
 1,"[104]",0x0,0x20000770,"1 Hz"
 1,"[105]",0x0,0x20000774,"1 Hz"
 1,"[106]",0x0,0x20000778,"1 Hz"
 1,"[107]",0x0,0x2000077C,"1 Hz"
 1,"[108]",0x0,0x20000780,"1 Hz"
 1,"[109]",0x0,0x20000784,"1 Hz"
 1,"[110]",0x0,0x20000788,"1 Hz"
 1,"[111]",0x0,0x2000078C,"1 Hz"
 1,"[112]",0x0,0x20000790,"1 Hz"
 1,"[113]",0x0,0x20000794,"1 Hz"
 1,"[114]",0x0,0x20000798,"1 Hz"
 1,"[115]",0x0,0x2000079C,"1 Hz"
 1,"[116]",0x0,0x200007A0,"1 Hz"
 1,"[117]",0x0,0x200007A4,"1 Hz"
 1,"[118]",0x0,0x200007A8,"1 Hz"
 1,"[119]",0x0,0x200007AC,"1 Hz"
 1,"[120]",0x0,0x200007B0,"1 Hz"
 1,"[121]",0x0,0x200007B4,"1 Hz"
 1,"[122]",0x0,0x200007B8,"1 Hz"
 1,"[123]",0x0,0x200007BC,"1 Hz"
 1,"[124]",0x0,0x200007C0,"1 Hz"
 1,"[125]",0x0,0x200007C4,"1 Hz"
 1,"[126]",0x0,0x200007C8,"1 Hz"
 1,"[127]",0x0,0x200007CC,"1 Hz"
