Id,Time[ns],0:SPI: MISO data,0:SPI: MOSI data
1,1000330.00,20,03
2,1001130.00,00,2A
3,1003650.00,00,00
4,1004450.00,00,00
5,1006550.00,00,00
6,1007350.00,00,00
7,1009450.00,00,00
8,1010250.00,00,00
9,1012350.00,00,00
10,1013150.00,00,00
11,1015250.00,DB,00
12,1016050.00,B3,00
13,1018150.00,87,00
14,1018950.00,7F,00
15,1021050.00,80,00
16,1021850.00,00,00
17,1023950.00,00,00
18,1024750.00,00,00
19,1037860.00,00,00
20,1038660.00,00,00
21,1041170.00,00,00
22,1041970.00,00,00
23,1044070.00,00,00
24,1044870.00,00,00
25,1046970.00,00,00
26,1047770.00,00,00
27,1049870.00,00,00
28,1050670.00,00,00
29,1052770.00,70,00
30,1053570.00,9C,00
31,1055670.00,80,00
32,1056470.00,00,00
33,1058570.00,00,00
34,1059370.00,00,00
35,1061470.00,00,00
36,1062270.00,00,00
37,1076210.00,00,61
38,1077010.00,00,00
39,1079520.00,00,00
40,1080320.00,00,02
41,1082420.00,00,88
42,1083220.00,00,00
43,1085320.00,00,00
44,1086120.00,00,00
45,1088220.00,00,00
46,1089020.00,00,00
47,1091120.00,70,00
48,1091920.00,9C,00
49,1094020.00,A0,00
50,1094820.00,80,00
51,1096920.00,00,00
52,1097720.00,00,00
53,1099820.00,00,00
54,1100620.00,00,00
55,1113530.00,00,00
56,1114330.00,00,00
57,1116850.00,00,00
58,1117650.00,00,00
59,1119750.00,00,00
60,1120550.00,00,00
61,1122650.00,00,00
62,1123450.00,00,00
63,1125550.00,00,00
64,1126350.00,00,00
65,1128450.00,F1,00
66,1129250.00,BC,00
67,1131350.00,80,00
68,1132150.00,00,00
69,1134250.00,00,00
70,1135050.00,00,00
71,1137150.00,00,00
72,1137950.00,00,00
73,1151320.00,00,50
74,1152120.00,00,80
75,1154630.00,00,00
76,1155430.00,00,00
77,1157530.00,00,00
78,1158330.00,00,00
79,1160430.00,00,00
80,1161230.00,00,00
81,1163330.00,00,00
82,1164130.00,00,00
83,1166230.00,70,00
84,1167030.00,9C,00
85,1169130.00,80,00
86,1169930.00,02,00
87,1172030.00,80,00
88,1172830.00,00,00
89,1174930.00,00,00
90,1175730.00,00,00
91,1190000.00,00,00
92,1190800.00,07,00
93,1193310.00,C0,00
94,1194110.00,00,00
95,1196210.00,43,00
96,1197010.00,16,00
97,1199110.00,BF,00
98,1199910.00,FF,00
99,1202010.00,BF,00
100,1202810.00,FF,00
101,1204910.00,D5,00
102,1205710.00,C6,00
103,1207810.00,00,00
104,1208610.00,00,00
105,1210710.00,40,00
106,1211510.00,00,00
107,1213610.00,43,00
108,1214410.00,16,00
